Date,Open,High,Low,Close,Adj Close,Volume
6/8/2020,20.17,20.99,19.959999,20.889999,20.621071,146700
6/9/2020,20.51,20.629999,19.67,20.24,19.979439,178100
6/10/2020,20.389999,20.84,19.6,19.67,19.416777,119100
6/11/2020,18.99,19.08,18.280001,18.370001,18.133512,202800
6/12/2020,19.08,19.1,18.08,18.74,18.498749,163300
6/15/2020,18.33,19.42,18.209999,19.120001,18.873856,141200
6/16/2020,19.5,19.629999,18.790001,19.459999,19.209476,167000
6/17/2020,19.450001,19.450001,18.82,18.99,18.745529,99000
6/18/2020,18.83,19.280001,18.83,19.17,18.923212,156000
6/19/2020,19.360001,19.389999,18.66,19.120001,18.873856,213100
6/22/2020,19.26,19.26,18.540001,18.98,18.735659,203100
6/23/2020,19.219999,19.219999,18.639999,18.67,18.429649,91900
6/24/2020,18.48,18.540001,18.08,18.110001,17.876858,160700
6/25/2020,18.059999,18.059999,17.67,18.02,17.788017,127300
6/26/2020,17.799999,17.9,17.43,17.77,17.541235,229100
6/29/2020,18.01,18.450001,17.809999,18.25,18.015057,140300
6/30/2020,18.09,18.73,17.969999,18.120001,17.88673,181500
7/1/2020,18.139999,18.209999,17.629999,17.82,17.59059,133300
7/2/2020,18.18,18.35,17.57,17.66,17.432652,91400
7/6/2020,18.15,18.15,17.58,17.92,17.689304,126800
7/7/2020,17.67,18,17.469999,17.85,17.620207,198400
7/8/2020,17.82,17.82,17.4,17.6,17.373425,186400
7/9/2020,17.49,17.57,16.74,17.110001,16.889732,175700
7/10/2020,17.08,17.58,17.08,17.57,17.343809,83000
7/13/2020,17.879999,18.389999,17.75,17.85,17.620207,172900
7/14/2020,17.940001,18.18,17.75,18.08,17.847244,97000
7/15/2020,18.34,18.98,18.34,18.73,18.488876,151700
7/16/2020,18.65,19.030001,18.469999,18.950001,18.706047,124100
7/17/2020,18.959999,19.049999,18.459999,18.559999,18.321066,90400
7/20/2020,18.389999,18.43,17.790001,18.08,17.847244,130500
7/21/2020,18.299999,18.82,18.09,18.58,18.340807,113300
7/22/2020,18.43,18.82,18.32,18.75,18.508619,99900
7/23/2020,18.92,19.610001,18.809999,19.4,19.150249,390800
7/24/2020,19.450001,19.629999,18.77,18.9,18.656689,67000
7/27/2020,18.940001,19.469999,18.629999,19.42,19.169994,100600
7/28/2020,19.299999,19.959999,18.91,19.65,19.397034,144500
7/29/2020,21.870001,23.9,21.450001,23.299999,23.000044,369500
7/30/2020,22.92,23.17,22.25,23.1,22.80262,216100
7/31/2020,22.77,22.879999,21.200001,22.110001,21.825365,235800
8/3/2020,22.42,22.459999,21.780001,22.25,21.963562,176200
8/4/2020,22.18,22.65,22.110001,22.34,22.052404,101600
8/5/2020,22.59,22.700001,22.18,22.450001,22.160986,135500
8/6/2020,22.5,22.92,22.41,22.66,22.368282,119500
8/7/2020,22.559999,23.17,22.530001,23.07,22.861788,156600
8/10/2020,23.07,23.799999,23.07,23.469999,23.258179,108400
8/11/2020,23.700001,24.01,23.299999,23.43,23.21854,107900
8/12/2020,23.790001,23.790001,23.17,23.440001,23.228451,70400
8/13/2020,23.23,23.4,22.889999,23.219999,23.010433,66500
8/14/2020,23.07,23.17,22.82,22.969999,22.76269,49500
8/17/2020,23.02,23.040001,22.76,22.82,22.614044,57500
8/18/2020,22.73,22.73,22.309999,22.5,22.296932,76400
8/19/2020,22.440001,23.389999,22.440001,22.860001,22.653685,91000
8/20/2020,22.559999,22.65,22.360001,22.450001,22.247387,52800
8/21/2020,22.290001,22.35,22.18,22.309999,22.108648,86500
8/24/2020,22.370001,22.85,22.18,22.709999,22.505037,71600
8/25/2020,22.99,23.16,22.48,22.57,22.366301,83000
8/26/2020,22.51,22.51,22.120001,22.200001,21.999641,55500
8/27/2020,22.110001,22.610001,22.110001,22.52,22.316751,61300
8/28/2020,22.690001,22.690001,22.200001,22.370001,22.168108,31500
8/31/2020,22.290001,22.32,21.950001,22.139999,21.940182,94200
9/1/2020,22.030001,22.290001,21.98,22.27,22.06901,68800
9/2/2020,22.27,22.6,22.1,22.49,22.287024,74100
9/3/2020,22.549999,22.559999,21.92,22.09,21.890635,112800
